                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.03.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20240603"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                 delta_nu                                   nu_max                              num_retries                                num_iters 
                                       1                                      792                  1.0000000000000000E+005                  5.0000000000000000E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  9.3153811871287990E-004                  9.8646372213489675E-001                  9.7234700049816480E-001                  2.7443137548628260E-002                  1.7303217619641757E-002                  9.8646372213489675E-001                  9.7234700049816480E-001                  2.7443137548628260E-002                  1.7303217619641757E-002                 -2.4455266507446774E-001                 -4.7564777108987656E+001                 -9.8999999999999986E+001                 -2.4455266507446791E-001                 -2.6049520390635200E-001                 -1.6877263777634914E+000                 -4.7564777108987656E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7545285539010282E+000                 -1.2498492811259548E-001                 -4.8896410993857678E-002                  4.5358604492908485E+000                  0.0000000000000000E+000                  1.7150488471169094E+001                  1.8927795908780469E+000                  7.1246407143186499E+000                  6.1531845067445845E-001                  8.5604940013048547E-001                  1.2813390473084449E+000                  7.1207812847456486E-001                  2.6878452353451698E-001                  7.7796098347823468E-004                  8.7558978516515343E-003                  3.2174415896217912E-003                  8.7561128761891593E-003                  7.1229924223926977E-001                  2.6885847301251420E-001                  1.6685884662408449E+002                  3.8856199631310578E+003                                        0                                        6 
                                       2                                      790                  2.2000000000000000E+005                  5.0791812460476242E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  2.4104593691254363E-002                  9.9999999996715638E-001                  9.7008676055715948E-001                  2.3585673734413448E-002                  7.8129561407319637E-008                  9.9999999996715638E-001                  9.7008676055715948E-001                  2.3585673734413448E-002                  7.8129561407319637E-008                 -2.3709447083393320E-001                 -4.7558111530685800E+001                 -9.8999999999999986E+001                 -2.3709447083393329E-001                 -2.5287579614512767E-001                 -1.6846020785821150E+000                 -4.7558111530685800E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7537941722398411E+000                 -1.3140241550993517E-001                 -5.0636391370152994E-002                  4.5393404100434385E+000                  0.0000000000000000E+000                  1.7152160115311009E+001                  1.8943660955368280E+000                  7.1247134887432271E+000                  6.1532152148533092E-001                  8.5604675712176059E-001                  1.2813466367660553E+000                  7.1207158665165815E-001                  2.6878717404945657E-001                  7.7730380625741426E-004                  8.7559045040071157E-003                  3.2174404859205896E-003                  8.7561098725193031E-003                  7.1229833607313398E-001                  2.6885899878903369E-001                  1.6786952751553221E+002                  3.9201932209400038E+003                                        0                                        3 
                                       3                                      790                  3.6400000000000000E+005                  5.1583624920952493E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  2.3050047761419511E-002                  9.9999999996715638E-001                  9.6932773309675024E-001                  2.1456552234534687E-002                  7.8129561407319637E-008                  9.9999999996715638E-001                  9.6932773309675024E-001                  2.1456552234534687E-002                  7.8129561407319637E-008                 -2.2981906066616306E-001                 -4.7548467398641115E+001                 -9.8999999999999986E+001                 -2.2981906066616314E-001                 -2.4546835596678676E-001                 -1.6809097381465541E+000                 -4.7548467398641115E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7532584808357838E+000                 -1.3631165883943372E-001                 -5.2019630226787683E-002                  4.5421068877567086E+000                  0.0000000000000000E+000                  1.7153917410513454E+001                  1.8959852990663817E+000                  7.1248399309901256E+000                  6.1532566246026421E-001                  8.5604250294346318E-001                  1.2813575709395861E+000                  7.1206284488470717E-001                  2.6879456460819379E-001                  7.7350851653262386E-004                  8.7559123248210045E-003                  3.2174327255703196E-003                  8.7560887530984729E-003                  7.1229725132353083E-001                  2.6885965139552825E-001                  1.6867578373158096E+002                  3.9476786851029651E+003                                        0                                        3 
                                       4                                      790                  5.3680000000000000E+005                  5.2375437381428744E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  2.1915385343069256E-002                  9.9999999996715638E-001                  9.6883691672452121E-001                  2.1456552234534687E-002                  7.8129561407319637E-008                  9.9999999996715638E-001                  9.6883691672452121E-001                  2.1456552234534687E-002                  7.8129561407319637E-008                 -2.2208548833391437E-001                 -4.7535095255146437E+001                 -9.8999999999999986E+001                 -2.2208548833391462E-001                 -2.3761592481135685E-001                 -1.6764282160779662E+000                 -4.7535095255146437E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7528817475725154E+000                 -1.4000219743784695E-001                 -5.3111432999456303E-002                  4.5442904933020456E+000                  0.0000000000000000E+000                  1.7155756974941546E+001                  1.8976170500159408E+000                  7.1250369252723305E+000                  6.1533061634250397E-001                  8.5603736926780538E-001                  1.2813706895676618E+000                  7.1205238887851308E-001                  2.6880366898162922E-001                  7.6892691775944956E-004                  8.7559216751319450E-003                  3.2174238144541270E-003                  8.7560645019234169E-003                  7.1229595279310953E-001                  2.6886046247792150E-001                  1.6931455291094281E+002                  3.9692985811679036E+003                                        0                                        2 
                                       5                                      790                  7.4416000000000000E+005                  5.3167249841904987E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  2.1129213790062638E-002                  9.9999999996715638E-001                  9.6850687678004110E-001                  1.9385859089157242E-002                  7.8129561407319637E-008                  9.9999999996715638E-001                  9.6850687678004110E-001                  1.9385859089157242E-002                  7.8129561407319637E-008                 -2.1412133567426589E-001                 -4.7517934413975240E+001                 -1.5477468515471340E+001                 -2.1412133567426567E-001                 -2.2955457865007606E-001                 -1.6711422233590087E+000                 -4.7517934413975240E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7526368931041776E+000                 -1.4266624818603130E-001                 -5.3953749436874206E-002                  4.5459751261768808E+000                  0.0000000000000000E+000                  1.7157651457516621E+001                  1.8992329312980276E+000                  7.1253059931490474E+000                  6.1533661025838704E-001                  8.5603106605341506E-001                  1.2813866480235716E+000                  7.1203974571808215E-001                  2.6881521100920874E-001                  7.6314165347257732E-004                  8.7559329340304581E-003                  3.2174120429994553E-003                  8.7560324664744532E-003                  7.1229439779037917E-001                  2.6886147051154125E-001                  1.6980969411740807E+002                  3.9858488822897898E+003                                        0                                        3 
                                       6                                      789                  9.9299200000000000E+005                  5.3959062302381238E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  2.0205089969721372E-002                  9.9999999996715638E-001                  9.6831958675031271E-001                  1.9385859089157242E-002                  7.8129561407319637E-008                  9.9999999996715638E-001                  9.6831958675031271E-001                  1.9385859089157242E-002                  7.8129561407319637E-008                 -2.0590404272384649E-001                 -4.7496637402312921E+001                 -1.5477468515471340E+001                 -2.0590404272384624E-001                 -2.2126220055569840E-001                 -1.6650056768637884E+000                 -4.7496637402312921E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7525103197036493E+000                 -1.4440757572799884E-001                 -5.4571266406800677E-002                  4.5472101601167338E+000                  0.0000000000000000E+000                  1.7159561750023911E+001                  1.9007849905960461E+000                  7.1256566447581537E+000                  6.1534382747196703E-001                  8.5602344900285432E-001                  1.2814058867078113E+000                  7.1202452528235338E-001                  2.6882927259758321E-001                  7.5613470806696931E-004                  8.7559463880140225E-003                  3.2173978359558196E-003                  8.7559938026870246E-003                  7.1229253518944646E-001                  2.6886272355338497E-001                  1.7017486067893043E+002                  3.9977823812920624E+003                                        0                                        3 
                                       7                                      789                  1.2915903999999999E+006                  5.4750874762857489E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  1.9408103365850964E-002                  9.9999999996715638E-001                  9.6823773563431625E-001                  1.9385859089157242E-002                  7.8129561407319637E-008                  9.9999999996715638E-001                  9.6823773563431625E-001                  1.9385859089157242E-002                  7.8129561407319637E-008                 -1.9762301904241214E-001                 -4.7471495482486034E+001                 -9.8999999999999986E+001                 -1.9762301904241228E-001                 -2.1293271937594402E-001                 -1.6580730033557056E+000                 -4.7471495482486034E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7524895775033653E+000                 -1.4532609779045769E-001                 -5.4989043037462416E-002                  4.5480457133780581E+000                  0.0000000000000000E+000                  1.7161424632217017E+001                  1.9022168248670712E+000                  7.1260827761561938E+000                  6.1535253150032609E-001                  8.5601423937449139E-001                  1.2814291082102358E+000                  7.1200617353105367E-001                  2.6884637266073741E-001                  7.4763970452383015E-004                  8.7559624626738081E-003                  3.2173807359488393E-003                  8.7559472658386775E-003                  7.1229030309019681E-001                  2.6886428000501306E-001                  1.7042405403025299E+002                  4.0055769017530533E+003                                        0                                        3 
                                       8                                      789                  1.6499084800000000E+006                  5.5542687223333731E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  1.8787759114704927E-002                  9.9999999996715638E-001                  9.6824161177785195E-001                  1.8369401807301400E-002                  7.8129561407319637E-008                  9.9999999996715638E-001                  9.6824161177785195E-001                  1.8369401807301400E-002                  7.8129561407319637E-008                 -1.8961741553858463E-001                 -4.7443388352555068E+001                 -1.5477468515471340E+001                 -1.8961741553858441E-001                 -2.0490629332185178E-001                 -1.6506481307687064E+000                 -4.7443388352555068E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7525610121086217E+000                 -1.4554183576637272E-001                 -5.5239781235933018E-002                  4.5485471897749985E+000                  0.0000000000000000E+000                  1.7163203780150702E+001                  1.9035081686152211E+000                  7.1265687582566093E+000                  6.1536315994979118E-001                  8.5600291350170499E-001                  1.2814575446647645E+000                  7.1198377885911246E-001                  2.6886769983427045E-001                  7.3688684860150305E-004                  8.7559818282998223E-003                  3.2173601931347797E-003                  8.7558913595560985E-003                  7.1228762577732951E-001                  2.6886620883972323E-001                  1.7057572929364846E+002                  4.0098749868196114E+003                                        0                                        3 
                                       9                                      789                  2.0798901760000000E+006                  5.6334499683809982E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  1.7725866002155182E-002                  9.9999999996715638E-001                  9.6831900405333637E-001                  1.7623059047277123E-002                  7.8129561407319637E-008                  9.9999999996715638E-001                  9.6831900405333637E-001                  1.7623059047277123E-002                  7.8129561407319637E-008                 -1.8192867442151323E-001                 -4.7413155005812854E+001                 -1.5954589770191003E+001                 -1.8192867442151317E-001                 -1.9721346249050387E-001                 -1.6430735443855207E+000                 -4.7413155005812854E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7527063305257382E+000                 -1.4522349541175711E-001                 -5.5371247892858383E-002                  4.5488101230888498E+000                  0.0000000000000000E+000                  1.7164844527730626E+001                  1.9046194503908633E+000                  7.1271000941987106E+000                  6.1537612187700719E-001                  8.5598910424507713E-001                  1.2814922268009106E+000                  7.1195647764489611E-001                  2.6889368204324737E-001                  7.2359779325098376E-004                  8.7560049871851994E-003                  3.2173355538206070E-003                  8.7558243048450630E-003                  7.1228441215331728E-001                  2.6886859389519308E-001                  1.7065709131935105E+002                  4.0116321874517462E+003                                        0                                        3 
