                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.2006726988725465E-006   0.1084948325299319E+004   0.0000000000000000E+000                         0                         0                        10                        10
  0.1095918343592943E-006   0.1178554018783341E+004   0.0000000000000000E+000                         0                         0                        11                        11
  0.6678181459948275E-007   0.1273112145023919E+004   0.0000000000000000E+000                         0                         0                        12                        12
  0.4241697826114211E-007   0.1367691351324695E+004   0.0000000000000000E+000                         0                         0                        13                        13
  0.2833009850569975E-007   0.1461253053355983E+004   0.0000000000000000E+000                         0                         0                        14                        14
  0.2114323136273258E-007   0.1554402512339962E+004   0.0000000000000000E+000                         0                         0                        15                        15
  0.1743590847407515E-007   0.1648048483265135E+004   0.0000000000000000E+000                         0                         0                        16                        16
  0.1493573554290695E-007   0.1742597136304891E+004   0.0000000000000000E+000                         0                         0                        17                        17
  0.1305334978972630E-007   0.1837606791998098E+004   0.0000000000000000E+000                         0                         0                        18                        18
  0.1175670077692386E-007   0.1932444649451335E+004   0.0000000000000000E+000                         0                         0                        19                        19
  0.1096508430783054E-007   0.2027528926169593E+004   0.0000000000000000E+000                         0                         0                        20                        20
  0.1057833210683309E-007   0.2123100009944429E+004   0.0000000000000000E+000                         0                         0                        21                        21
  0.1038541144794467E-007   0.2218874103676272E+004   0.0000000000000000E+000                         0                         0                        22                        22
  0.1028625318320760E-007   0.2315001986461256E+004   0.0000000000000000E+000                         0                         0                        23                        23
  0.1033279257491533E-007   0.2411314690190730E+004   0.0000000000000000E+000                         0                         0                        24                        24
  0.1048216123580962E-007   0.2507556027099823E+004   0.0000000000000000E+000                         0                         0                        25                        25
  0.1075436712712236E-007   0.2603955312458650E+004   0.0000000000000000E+000                         0                         0                        26                        26
  0.1124547977547574E-007   0.2700280466009794E+004   0.0000000000000000E+000                         0                         0                        27                        27
  0.1198635336667992E-007   0.2796262189064243E+004   0.0000000000000000E+000                         0                         0                        28                        28
  0.1339691580012857E-007   0.2891501390970294E+004   0.0000000000000000E+000                         0                         0                        29                        29
  0.3077637098689882E-006   0.1030614841439814E+004   0.0000000000000000E+000                         1                         0                         8                         9
  0.1516421261544895E-006   0.1124798161547222E+004   0.0000000000000000E+000                         1                         0                         9                        10
  0.8822916317293795E-007   0.1218746151150482E+004   0.0000000000000000E+000                         1                         0                        10                        11
  0.5476769068565761E-007   0.1313424649496846E+004   0.0000000000000000E+000                         1                         0                        11                        12
  0.3520176858939023E-007   0.1407950150503768E+004   0.0000000000000000E+000                         1                         0                        12                        13
  0.2461793773171785E-007   0.1501276492119644E+004   0.0000000000000000E+000                         1                         0                        13                        14
  0.1922323289153954E-007   0.1594655655592702E+004   0.0000000000000000E+000                         1                         0                        14                        15
  0.1620688132094059E-007   0.1689106381559833E+004   0.0000000000000000E+000                         1                         0                        15                        16
  0.1403476734862434E-007   0.1784079081820196E+004   0.0000000000000000E+000                         1                         0                        16                        17
  0.1235768985660723E-007   0.1879260448684867E+004   0.0000000000000000E+000                         1                         0                        17                        18
  0.1131313582416876E-007   0.1974568553488024E+004   0.0000000000000000E+000                         1                         0                        18                        19
  0.1074268715605849E-007   0.2070023735695956E+004   0.0000000000000000E+000                         1                         0                        19                        20
  0.1042395385502834E-007   0.2166026540369326E+004   0.0000000000000000E+000                         1                         0                        20                        21
  0.1029729403884801E-007   0.2262383087714763E+004   0.0000000000000000E+000                         1                         0                        21                        22
  0.1026857527625240E-007   0.2358801388228635E+004   0.0000000000000000E+000                         1                         0                        22                        23
  0.1033196374699524E-007   0.2455484217603489E+004   0.0000000000000000E+000                         1                         0                        23                        24
  0.1056165487813724E-007   0.2552200844579783E+004   0.0000000000000000E+000                         1                         0                        24                        25
  0.1092426762021123E-007   0.2648801489066453E+004   0.0000000000000000E+000                         1                         0                        25                        26
  0.1149013701489363E-007   0.2745429838702554E+004   0.0000000000000000E+000                         1                         0                        26                        27
  0.1247807855228270E-007   0.2841579309504668E+004   0.0000000000000000E+000                         1                         0                        27                        28
  0.2119444595876787E-006   0.1077398186840045E+004   0.0000000000000000E+000                         2                         0                         9                         9
  0.1139003005744288E-006   0.1171241938239848E+004   0.0000000000000000E+000                         2                         0                        10                        10
